E	water	muscle	lung	dry_spine	dry_rib	adipose	blood	heart	kidney	liver	lymph	pancreas	intestine	skull	cartilage	brain	spleen	iodine_blood	iron	pmma	aluminum	titanium	air	graphite	lead	breast_mammary	skin	iodine	eye_lens	ovary	red_marrow	yellow_marrow	testis	thyroid	bladder
15.5		1.5312509	1.62842	0.43263515	7.6406025	15.79766	0.86491647	1.6933251	1.61252	1.6274378	1.6561194	1.6178825	1.5372413	1.5398855	10.782508	2.0099298	1.6289962	1.663301	2.1691133	410.02669	1.2081674	19.465315	148.18506	0.0017522072	1.360667	1608.3401	1.2948092	1.5813453	248.8478	1.5021824	1.6394504	1.3321656	0.93549438	1.608976	1.621402	1.6568835
16.0		1.4076134	1.4973316	0.39799959	6.9878596	14.435038	0.80211697	1.5566765	1.4828389	1.4963909	1.5226294	1.4870178	1.4142449	1.4162768	9.8563088	1.8448746	1.4977832	1.5290978	1.9934658	375.66557	1.1176996	17.735143	135.4849	0.0016105205	1.2652976	1717.4892	1.1937957	1.4551615	228.42507	1.3825922	1.5071489	1.2285955	0.86724574	1.4793029	1.4911226	1.522958
16.5		1.2988191	1.3818881	0.36752146	6.4096793	13.227401	0.7468511	1.4363088	1.3686457	1.3809908	1.4050722	1.3718229	1.3059544	1.3074671	9.0356511	1.6994418	1.3822244	1.4109202	1.8384177	345.03369	1.0380992	16.207268	124.18839	0.0014857562	1.1814029	1589.3335	1.1048843	1.3440649	210.25016	1.2773295	1.3906632	1.1373489	0.80717867	1.365135	1.3763984	1.4050213
17.0		1.2027108	1.279828	0.34059659	5.8957454	12.153403	0.69802284	1.3298726	1.2677004	1.2789752	1.3011449	1.2700265	1.2102406	1.2113111	8.30597	1.5708075	1.280058	1.3064508	1.7010299	317.64173	0.9677841	14.853183	114.10933	0.0013754671	1.1073084	1474.1941	1.0263189	1.245871	194.01769	1.1843157	1.287704	1.0566484	0.75410382	1.2642274	1.2749789	1.3007619
17.5		1.1174896	1.1892636	0.31672113	5.4373715	11.195055	0.65471824	1.2354061	1.178133	1.1884556	1.2089249	1.1797333	1.1253264	1.1260189	7.6549959	1.4566122	1.1893957	1.2137551	1.5788442	293.0733	0.90543525	13.64897	105.08958	0.0012776099	1.0416183	1370.4183	0.95663439	1.1587568	179.47034	1.1018169	1.1963606	0.98500962	0.70702928	1.1747065	1.1849858	1.2082502
18.0		1.0416588	1.1086227	0.29547582	5.0272764	10.337266	0.61617654	1.1512748	1.0983867	1.1078591	1.1268112	1.0993658	1.0497324	1.0501004	7.0724396	1.3548895	1.108665	1.1312224	1.4698094	270.97661	0.84995489	12.574614	96.995253	0.0011904833	0.98317053	1276.608	0.89461112	1.0812043	166.39186	1.0283897	1.1150423	0.9211958	0.66512928	1.0950125	1.1048552	1.1258795
18.5		0.97395596	1.0365781	0.27650705	4.6592647	9.5671875	0.58175639	1.0760986	1.0271468	1.0358582	1.0534519	1.0275928	0.98220966	0.98229835	6.5495425	1.2639781	1.0365379	1.0574926	1.3721901	251.0488	0.80041763	11.613139	89.711592	0.0011126509	0.93098644	1191.5647	0.83922032	1.0119324	154.59794	0.96281654	1.0424062	0.86416229	0.62770755	1.0238291	1.033267	1.0522929
19.0		0.91332077	0.97201419	0.25951784	4.3280918	8.8739331	0.55091921	1.0087173	0.96330898	0.97133684	0.98771112	0.96329599	0.92170911	0.92155642	6.0788871	1.1824807	0.97189842	0.99142309	1.2845254	233.03203	0.75604645	10.750216	83.140868	0.0010429061	0.88424438	1114.2656	0.78959776	0.94986468	143.93229	0.90407442	0.97732429	0.81303092	0.59417934	0.96004999	0.96911181	0.98635061
19.5		0.85884789	0.91397748	0.24425457	4.0292469	8.2481342	0.52320489	0.9481387	0.90592899	0.91334143	0.92861764	0.90551974	0.86733406	0.86697221	5.6540914	1.1092022	0.91379244	0.9320369	1.2055637	216.70233	0.71617767	9.9735486	77.198293	0.00098021674	0.84224237	1043.8239	0.74500511	0.89408116	134.26006	0.85128947	0.91883226	0.76705051	0.56404503	0.90272989	0.91144155	0.92707791
20.0		0.80977599	0.86166567	0.23050399	3.75891	7.6818516	0.49822679	0.89352789	0.85421257	0.86106946	0.87535438	0.85346039	0.81833028	0.81778665	5.2697487	1.0431362	0.86141718	0.87851222	1.1342504	201.86879	0.68025358	9.2727544	71.811746	0.00092371496	0.80439105	979.48326	0.70482152	0.84380799	125.46697	0.80372677	0.866119	0.72558897	0.53688473	0.85107361	0.8594586	0.87365489
20.5		0.76545106	0.81438899	0.21808292	3.5137798	7.1682206	0.47565284	0.84416685	0.80747689	0.81383107	0.82721884	0.80642722	0.77404946	0.77334743	4.9211849	0.98341717	0.81408235	0.83014251	1.0694802	188.36508	0.64779523	8.6388621	66.918327	0.00087265459	0.7701845	918.72516	0.66851353	0.79838	117.34266	0.76075481	0.81848729	0.6881027	0.51233776	0.80439762	0.81245363	0.8253766
21.0		0.72530621	0.77154876	0.20683253	3.290959	6.7012095	0.45519484	0.79943215	0.76512939	0.7710275	0.78360128	0.76382113	0.73392908	0.73308875	4.6042954	0.92929278	0.7711888	0.7863146	1.0106895	176.04385	0.61838714	8.064032	62.462404	0.00082638779	0.73918334	863.09062	0.63561833	0.75722001	109.92839	0.72182581	0.77533219	0.65411939	0.49009104	0.76210893	0.76985897	0.78163124
